G352	105.37	36.00	-1.5	1.91	10.7	1.93	-0.0059	-	-	-	-
G354	101.36	35.72	2.8	1.80	7.7	1.82	-0.0027	-	-	-	-
G355	106.34	35.39	-2.1	1.94	8.4	1.96	-0.0053	-	-	-	-
G356	106.21	35.25	-1.4	1.96	7.6	1.97	-0.0038	-	-	-	-
G357	105.20	35.22	-2.6	1.54	9.9	1.55	-0.0022	-	-	-	-
G358	100.81	35.24	5.5	1.79	11.8	1.80	-0.0027	-	-	-	-
G359	106.81	35.14	-7.1	1.94	7.4	1.96	-0.0052	-	-	-	-
G360	101.71	35.05	0.9	1.88	12.6	1.90	-0.0052	-	-	-	-
G362	106.56	34.73	-2.7	1.70	10.3	1.72	-0.0123	-	-	-	-
G364	101.88	34.57	2.3	1.88	10.8	1.91	-0.0034	-	-	-	-
GRHI	82.49	27.95	32.1	0.52	6.9	0.53	0.0542	3.6	0.71	2.2	0.82
GSAX	95.76	40.52	2.4	0.5	1.5	0.5	-0.0277	-	-	-	-
GSDH	94.68	40.14	2.9	0.59	2.1	0.59	-0.0236	-	-	-	-
GSDX	104.60	35.55	-0.9	0.58	7.8	0.59	-0.0535	-	-	-	-
GSGL	102.89	37.45	0.5	0.58	6.5	0.58	0.0286	-	-	-	-
GSGT	99.81	39.41	0.5	0.48	2	0.48	-0.0391	-	-	-	-
GSJN	105.76	35.53	-3.4	1.05	8.3	1.05	-0.0474	-	-	-	-
GSJT	104.06	37.18	-0.9	1.05	7.4	1.05	-0.0542	-	-	-	-
GSJY	98.22	39.81	0.9	1.05	4.3	1.05	-0.0353	-	-	-	-
GSLX	104.65	35.00	-2.1	1.05	8.1	1.05	-0.0375	-	-	-	-
GSLZ	103.67	36.08	0.2	1.05	10.3	1.05	-0.0572	-	-	-	-
GSMA	102.06	34.02	-0.3	0.69	11.4	0.69	-0.0391	-	-	-	-
GSML	100.82	38.44	1.2	1.05	5.6	1.05	-0.0471	-	-	-	-
GSMQ	103.09	38.63	-0.9	1.05	4.9	1.05	-0.0470	-	-	-	-
GSMX	104.02	34.43	-1.9	0.71	7.7	0.71	-0.0545	-	-	-	-
GSPL	106.59	35.55	-3.1	1.05	7.7	1.05	-0.0553	-	-	-	-
GSQS	106.21	34.75	-3.4	0.69	5.8	0.69	-0.0551	-	-	-	-
GSTS	105.91	34.48	-4.6	1.05	7.3	1.06	-0.0305	-	-	-	-
GSWD	104.82	33.42	-2.6	0.61	5.4	0.62	-0.0059	-	-	-	-
GUAO	87.18	43.47	6.5	0.51	3.2	0.51	0.0111	1.6	0.82	0.2	0.91
GZFG	107.73	27.98	-3.0	1.06	5.3	1.07	-0.0484	-	-	-	-
GZSC	104.86	26.59	-3.9	1.04	6.9	1.06	-0.0331	-	-	-	-
H001	106.51	33.91	-3.5	0.71	4.4	0.71	0.0000	-1.5	1.53	-2.9	1.58
H002	105.81	33.89	-4.9	0.71	4.2	0.71	-0.0002	0.3	1.54	-1.1	1.59
H003	105.31	34.11	-3.4	0.97	3.6	0.97	-0.0017	1.6	1.33	0.2	1.39
H004	106.92	33.62	-5.4	0.73	6.1	0.73	-0.0017	1.6	1.62	0.2	1.67
H005	105.59	33.70	-4.6	0.98	6.8	0.98	-0.0008	0.3	1.38	-1.1	1.44
H006	105.29	33.78	-3.5	0.74	2.5	0.74	0.0007	2.2	1.67	0.8	1.72
H007	106.15	33.34	-3.9	0.71	4.7	0.71	0.0000	2.2	1.53	0.7	1.59
H008	105.63	33.40	-4.0	0.74	4.3	0.74	0.0029	-0.9	1.67	-2.3	1.72
H009	106.02	32.96	-3.8	0.97	5.3	0.98	-0.0024	0.2	1.33	-1.2	1.39
H010	105.23	32.57	-3.2	0.92	5.4	0.92	0.0084	-0.3	1.07	-1.7	1.15
H011	105.83	32.45	-3	0.78	5.8	0.79	-0.0009	-1.6	0.90	-3.0	0.99
H012	105.46	32.02	-3.4	0.96	4.3	0.96	-0.0008	0.4	1.30	-1.0	1.36
